0,1
Width (W),Letters/Numerals
"1
2
3
4
5
6","i
l
j,l
c,f,r,t
a,b,d,e,g,h,k,n,o,,q,s,u,v,x,y,x
0,2,3,5 to 9
0,2,3,5 to 9
a,4"
