0,1,2
"Width
(W)",Capital letters,Width
"1
5
6
7
8
9
12","I
J,L
C,E,F
B,D,G,H,K,N,O,P,R,S,T,U & Z
A,Q,V,X,Y
M
W","1d
5d
6d
7d
8d
9d
12d"
