0,1,2
"Width
(W)",Letters/Numerals,Width
"1
3
4
5
6
7
9
10","i
j,l
f,t,l
c,r
a,b,d,e,g,h,k,n,o,p,q,s,u,v;3;5
a,0 (zero), 2,4,6,7,0,8,9
m
w","1d
3d
4d
5d
6d
7d
9d
10d"
