Exercise_No,Topic,Page_No,valid_exercise_no,missing_topic,missing_page
TYPE,CONVENTION,nan,False,False,False
Metals,nan,nan,False,False,False
nan,nan,nan,False,False,False
Glass,nan,nan,False,False,False
"Packing and Insulating
materials",nan,nan,False,False,False
nan,nan,nan,False,False,False
Liquid,nan,nan,False,False,False
Wood,nan,nan,False,False,False
Concrete,nan,nan,False,False,False
