Exercise_No,Topic,Page_No,valid_exercise_no,missing_topic,missing_page
"Width
(W)",Capital letters,Width,False,False,False
"1
5
6
7
8
9
12","I
J,L
C,E,F
B,D,G,H,K,N,O,P,R,S,T,U & Z
A,Q,V,X,Y
M
W","1d
5d
6d
7d
8d
9d
12d",False,False,False
