Exercise_No,Topic,Page_No,valid_exercise_no,missing_topic,missing_page
Sl. No.,Designation,Size (mm),False,False,False
"1
2
3
4","D0
D1
D2
D3","1500 x 1000 x 25
1000 x 700 x 25
700 x 500 x 15
500 x 350 x 15",False,False,False
