Field_1,Field_2,Field_3
Designation,Trimmed size,Untrimmed size
A0,841 x 1189,880 x 1230
A1,594 x 841,625 x 880
A2,420 x 594,450 x 625
A3,297 x 420,330 x 450
A4,210 x 297,240 x 330
A5,148 x 210,165 x 240
