Field_1,Field_2,Field_3
TYPE,CONVENTION,nan
Metals,nan,nan
nan,nan,nan
Glass,nan,nan
Packing and Insulating,nan,nan
materials,,
nan,nan,nan
Liquid,nan,nan
Wood,nan,nan
Concrete,nan,nan
